price,location,furnishingLevel,bedrooms,bathrooms,parking
265000,Setapak,Partly Furnished,3,2,1
265000,Setapak,Partly Furnished,3,2,1
265000,Setapak,Partly Furnished,3,2,1
265000,Setapak,Partly Furnished,3,2,1
265000,Setapak,Partly Furnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Setapak,Unfurnished,3,2,1
265000,Taman Desa,Partly Furnished,3,2,1
265000,Taman Desa,Partly Furnished,3,2,1
265000,Taman Desa,Unfurnished,3,2,1
265000,Taman Desa,Unfurnished,3,2,1
268000,Bandar Tasik Selatan,Partly Furnished,3,2,1
268000,Bandar Tasik Selatan,Partly Furnished,3,2,1
268000,Cheras,Partly Furnished,3,1,1
268000,Cheras,Partly Furnished,3,1,1
268000,Setapak,Partly Furnished,3,2,1
268000,Setapak,Partly Furnished,3,2,1
269000,Bandar Tasik Selatan,Partly Furnished,3,2,1
269000,Bandar Tasik Selatan,Partly Furnished,3,2,1
269000,Kepong,Unfurnished,3,2,1
269000,Kepong,Unfurnished,3,2,1
270000,Ampang,Unfurnished,3,2,1
270000,Ampang,Unfurnished,3,2,1
270000,Bukit Jalil,Unfurnished,1,1,1
270000,Bukit Jalil,Unfurnished,1,1,1
270000,Bukit Jalil,Partly Furnished,2,1,1
270000,Bukit Jalil,Partly Furnished,2,1,1
270000,Bukit Jalil,Unfurnished,3,2,1
270000,Bukit Jalil,Unfurnished,3,2,1
270000,Bukit Jalil,Unknown,3,2,1
270000,Bukit Jalil,Unknown,3,2,1
270000,Cheras,Partly Furnished,3,2,1
270000,Cheras,Partly Furnished,3,2,1
270000,Desa Petaling,Partly Furnished,3,2,1
270000,Desa Petaling,Partly Furnished,3,2,1
270000,Desa Petaling,Unfurnished,3,2,1
270000,Desa Petaling,Unfurnished,3,2,1
270000,Jalan Kuching,Partly Furnished,3,2,1
270000,Jalan Kuching,Partly Furnished,3,2,1
270000,Jalan Kuching,Unfurnished,3,2,1
270000,Jalan Kuching,Unfurnished,3,2,1
270000,Pandan Perdana,Partly Furnished,1,1,1
270000,Pandan Perdana,Partly Furnished,1,1,1
270000,Puchong,Unfurnished,3,2,1
270000,Puchong,Unfurnished,3,2,1
270000,Setapak,Unfurnished,2,2,1
270000,Setapak,Unfurnished,2,2,1
270000,Setapak,Partly Furnished,3,2,1
270000,Setapak,Partly Furnished,3,2,1
270000,Setapak,Partly Furnished,3,2,1
270000,Setapak,Partly Furnished,3,2,1
270000,Sri Petaling,Partly Furnished,2,1,1
270000,Sri Petaling,Partly Furnished,2,1,1
270000,Sri Petaling,Unknown,3,2,1
270000,Sri Petaling,Unknown,3,2,1
270000,Taman Desa,Partly Furnished,3,2,1
270000,Taman Desa,Partly Furnished,3,2,1
270000,Taman Desa,Partly Furnished,3,2,1
270000,Taman Desa,Partly Furnished,3,2,1
272000,Desa Petaling,Partly Furnished,3,2,1
272000,Desa Petaling,Partly Furnished,3,2,1
275000,Bandar Tasik Selatan,Partly Furnished,3,2,1
275000,Bandar Tasik Selatan,Partly Furnished,3,2,1
275000,Bukit Jalil,Partly Furnished,2,1,1
275000,Bukit Jalil,Partly Furnished,2,1,1
275000,Cheras,Partly Furnished,3,2,1
275000,Cheras,Partly Furnished,3,2,1
275000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
275000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
275000,Jinjang,Partly Furnished,2,2,1
275000,Jinjang,Partly Furnished,2,2,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Pandan Perdana,Partly Furnished,1,1,1
275000,Setapak,Partly Furnished,2,1,1
275000,Setapak,Partly Furnished,2,1,1
275000,Setapak,Partly Furnished,3,2,1
275000,Setapak,Partly Furnished,3,2,1
276000,Cheras,Partly Furnished,3,2,1
276000,Cheras,Partly Furnished,3,2,1
278000,Desa Petaling,Partly Furnished,3,2,1
278000,Desa Petaling,Partly Furnished,3,2,1
278000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
278000,Jalan Klang Lama (Old Klang Road),Partly Furnished,3,2,1
278000,Jinjang,Partly Furnished,3,2,1
278000,Jinjang,Partly Furnished,3,2,1
278000,Kepong,Unfurnished,3,2,1
278000,Kepong,Unfurnished,3,2,1
280000,Ampang,Unfurnished,3,2,1
280000,Ampang,Unfurnished,3,2,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Partly Furnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
280000,Bukit Jalil,Unfurnished,2,1,1
